ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
WNT2,FZD3,P09544,Q9NPG1,1,train
IL18,FPR3,Q14116,P25089,0,train
PPY,NR1D1,P01298,P20393,0,train
ADCYAP1,RAMP2,P18509,O60895,1,train
CORT,SSTR2,O00230,P30874,1,train
S100A9,TLR4,P06702,O00206,1,train
HDC,OR51E2,P19113,Q9H255,0,train
ANGPT2,TIE1,O15123,P35590,1,train
HLA-B,KIAA0040,P01889,Q15053,0,train
IL16,KCNA3,Q14005,P22001,1,train
SCT,VIPR1,P09683,P32241,1,train
CXCL13,CCR10,O43927,P46092,1,train
CEACAM1,SELE,P13688,P16581,1,train
RLN2,PTH1R,P04090,Q03431,1,train
GZMB,CHRM3,P10144,P20309,1,train
TNFSF10,TNFRSF10B,P50591,O14763,1,train
IL12B,DSG4,P29460,Q86SJ6,0,train
CCN2,ITGAM,P29279,P11215,1,train
ADCYAP1,SCTR,P18509,P47872,1,train
APOB,NEK3,P04114,P51956,0,train
COL1A2,FKBP11,P08123,Q9NYL4,0,train
LRPAP1,CXorf1,P30533,O96002,0,train
SEMA4D,PLXNB1,Q92854,O43157,1,train
VEGFD,ITGA4,O43915,P13612,1,train
POMC,PCDHB14,P01189,Q9Y5E9,0,train
CCL24,PIGR,O00175,P01833,0,train
CCL5,ADRA2A,P13501,P08913,1,train
ADAM10,TSPAN5,O14672,P62079,1,train
AVP,ADCYAP1R1,P01185,P41586,1,train
CALCA,RAMP1,P01258,O60894,1,train
CNTN2,SEL1L2,Q02246,Q5TEA6,0,train
GCG,DPP4,P01275,P27487,1,train
INS,LILRB1,P01308,Q8NHL6,1,train
CALCB,CALCRL,P10092,Q16602,1,train
CCL4,ALK,P13236,Q9UM73,0,train
FGF3,CTAGE4,P11487,Q8IX94,0,train
HSPG2,COL13A1,P98160,Q5TAT6,1,train
CDH1,IGF1R,P12830,P08069,1,train
CALM2,MYLK,P0DP24,Q15746,1,train
MFGE8,TRIM9,Q08431,Q9C026,0,train
CCL27,CCR10,Q9Y4X3,P46092,1,train
IGF2,IGF1R,P01344,P08069,1,train
RLN2,GRM7,P04090,Q14831,0,train
FN1,SLC39A1,P02751,Q9NY26,0,train
IAPP,CD81,P10997,P60033,0,train
POMC,MC2R,P01189,Q01718,1,train
SEMA4D,CD1C,Q92854,P29017,0,train
BDNF,NGFR,P23560,P08138,1,train
LAMC2,ITGA3,Q13753,P26006,1,train
COL6A1,OSBP2,P12109,Q969R2,0,train
FGF20,TRAV19,Q9NP95,A0A0A6YYK7,0,train
ADA,DPP4,P00813,P27487,1,train
ICAM1,EGFR,P05362,P00533,1,train
RLN2,HTR3E,P04090,A5X5Y0,0,train
BMP8A,PLPP6,Q7Z5Y6,Q8IY26,0,train
LGALS1,SLC24A4,P09382,Q8NFF2,0,train
COL1A1,MAPK10,P02452,P53779,0,train
ICAM4,ITGB2,Q14773,P05107,1,train
INHBB,DRD3,P09529,P35462,0,train
NRG1,MCC,Q02297,P23508,0,train
SOST,LRP6,Q9BQB4,O75581,1,train
POMC,OPRD1,P01189,P41143,1,train
CCL16,TMEM196,O15467,Q5HYL7,0,train
GNAI2,UNC5B,P04899,Q8IZJ1,1,train
CCL19,ACKR4,Q99731,Q9NPB9,1,train
SELPLG,SELL,Q14242,P14151,1,train
CCN2,ITGB2,P29279,P05107,1,train
CXCL9,TMEM119,Q07325,Q4V9L6,0,train
ICAM5,ITGB2,Q9UMF0,P05107,1,train
MFAP2,NOTCH1,P55001,P46531,1,train
EFNB2,EPHA6,P52799,Q9UF33,1,train
PROK1,PROKR2,P58294,Q8NFJ6,1,train
CXCL8,CXCR1,P10145,P25024,1,train
VTN,TNFRSF11B,P04004,O00300,1,train
COL4A1,MARCHF2,P02462,Q9P0N8,0,train
INSL5,GRM7,Q9Y5Q6,Q14831,1,train
LAMC1,OR2S2,P11047,Q9NQN1,0,train
FGA,SLC7A3,P02671,Q8WY07,0,train
NID1,CLDN11,P14543,O75508,0,train
ADAM10,ELFN1,O14672,P0C7U0,0,train
DLL4,NOTCH1,Q9NR61,P46531,1,train
CALM1,PTPRA,P0DP23,P18433,1,train
ANGPTL4,TIE1,Q9BY76,P35590,1,train
COL18A1,CTNS,P39060,O60931,0,train
LAMC1,ITGA7,P11047,Q13683,1,train
CALCB,RAMP1,P10092,O60894,1,train
CALM1,PTH2R,P0DP23,P49190,1,train
LTA,CALHM3,P01374,Q86XJ0,0,train
FN1,GAS1,P02751,P54826,0,train
CLCF1,SLC15A2,Q9UBD9,Q16348,0,train
TNF,KLRC3,P01375,Q07444,0,train
ASIP,OR2T1,P42127,O43869,0,train
TNC,PTPRH,P24821,Q9HD43,0,train
CCL26,CCR3,Q9Y258,P51677,1,train
COL4A3,ITGAV,Q01955,P06756,1,train
PYY,ADRA2A,P10082,P08913,1,train
AFDN,KCNN3,P55196,Q9UGI6,0,train
BMP7,ENG,P18075,P17813,1,train
COL5A2,ITGB1,P05997,P05556,1,train
CCL5,MARVELD2,P13501,Q8N4S9,0,train
TNFSF13B,FPR2,Q9Y275,P25090,0,train
CKLF,P2RX5,Q9UBR5,Q93086,0,train
PCSK1N,FXYD6P3,Q9UHG2,P58550,0,train
KISS1,FMNL3,Q15726,Q8IVF7,0,train
AREG,ERBB3,P15514,P21860,1,train
HBEGF,CD82,Q99075,P27701,1,train
CSF2,SMCR8,P04141,Q8TEV9,0,train
HBEGF,PRLR,Q99075,P16471,1,train
VTN,CD47,P04004,Q08722,1,train
VEGFA,RNF167,P15692,Q9H6Y7,0,train
LAMC1,ITGA6,P11047,P23229,1,train
CCN1,CAV1,O00622,Q03135,1,train
SPP1,OR6C65,P10451,A6NJZ3,0,train
WNT3A,TRBV5-6,P56704,A0A599,0,train
ICAM1,TRBV14,P05362,A0A5B0,0,train
TPH1,HTR2C,P17752,P28335,1,train
ADAM9,DACT1,Q13443,Q9NYF0,0,train
GNB3,DIP2A,P16520,Q14689,0,train
SEMA6A,CAPN1,Q9H2E6,P07384,0,train
APP,BEX3,P05067,Q00994,0,train
POMC,MC5R,P01189,P33032,1,train
LAMB3,COL17A1,Q13751,Q9UMD9,1,train
AVP,HEPH,P01185,Q9BQS7,0,train
FBN1,ITGAV,P35555,P06756,1,train
NTN1,KCNA2,O95631,P16389,0,train
VEGFA,GABRG2,P15692,P18507,0,train
HSP90B1,TLR9,P14625,Q9NR96,1,train
MADCAM1,ITGB7,Q13477,P26010,1,train
CD55,SMIM27,P08174,A0A1B0GUW7,0,train
TNFSF4,PLP1,P23510,P60201,0,train
CORT,MTNR1A,O00230,P48039,1,train
APOE,PIEZO1,P02649,Q92508,0,train
DLL3,NOTCH1,Q9NYJ7,P46531,1,train
DLK1,NOTCH1,P80370,P46531,1,train
PCSK9,MFSD4B,Q8NBP7,Q5TF39,0,train
SEMA3A,TRAF3IP1,Q14563,Q8TDR0,0,train
CXCL11,TCTA,O14625,P57738,0,train
PPY,TAAR5,P01298,O14804,0,train
COL8A2,SLC4A11,P25067,Q8NBS3,1,train
AFDN,NECTIN4,P55196,Q96NY8,1,train
F2,ASIC4,P00734,Q96FT7,0,train
GNAI2,OPRD1,P04899,P41143,1,train
NPY,NPY4R,P01303,P50391,1,train
SPTAN1,GNGT2,Q13813,O14610,0,train
CALM3,GRM5,P0DP25,P41594,1,train
GIP,ZDHHC15,P09681,Q96MV8,0,train
LEP,TMEM131L,P41159,A2VDJ0,0,train
INSL5,TM4SF18,Q9Y5Q6,Q96CE8,0,train
CD55,AADACL4,P08174,Q5VUY2,0,train
THBS2,KCNMB1,P35442,Q16558,0,train
PYY,MC4R,P10082,P32245,0,train
AVP,AVPR1B,P01185,P47901,1,train
CCL21,ADRA2A,O00585,P08913,1,train
HRAS,TLR2,P01112,O60603,1,train
SYK,FCGR2A,P43405,P12318,1,train
SEMA4A,ANO1,Q9H3S1,Q5XXA6,0,train
S100A9,ALCAM,P06702,Q13740,1,train
VEGFA,GPC1,P15692,P35052,1,train
VEGFC,NRP2,P49767,O60462,1,train
INSL3,ADRB3,P51460,P13945,1,train
TGFB1,ITGB6,P01137,P18564,1,train
CXCL6,CXCR2,P80162,P25025,1,train
NODAL,ACVR1B,Q96S42,P36896,1,train
AGT,TIGIT,P01019,Q495A1,0,train
VEGFD,PPP3R1,O43915,P63098,0,train
GNAI2,TBXA2R,P04899,P21731,1,train
CXCL8,SDC2,P10145,P34741,1,train
CCN2,EGFR,P29279,P00533,1,train
CCN1,PLEKHA8,O00622,Q96JA3,0,train
CXCL13,GRM7,O43927,Q14831,1,train
NODAL,GRIA1,Q96S42,P42261,0,train
LAMA1,CDH4,P25391,P55283,0,train
MFGE8,PRMT8,Q08431,Q9NR22,0,train
HSPG2,LRP1,P98160,Q07954,1,train
CXCL2,CXCR2,P19875,P25025,1,train
IL6,MINK1,P05231,Q8N4C8,0,train
ANGPTL2,LILRB2,Q9UKU9,Q8N423,1,train
VCAN,CCBE1,P13611,Q6UXH8,0,train
NODAL,PCDHGA4,Q96S42,Q9Y5G9,0,train
AGT,AGTR2,P01019,P50052,1,train
IL18,GPR171,Q14116,O14626,0,train
FGF18,FGFR2,O76093,P21802,1,train
ADAM17,ERBB4,P78536,Q15303,1,train
NPY,NPY1R,P01303,P25929,1,train
CALM1,TXK,P0DP23,P42681,0,train
HLA-G,KIR2DL4,P17693,Q99706,1,train
DEFB103B,LEPROTL1,P81534,O95214,0,train
FGG,ITGB3,P02679,P05106,1,train
RLN2,SYNE2,P04090,Q8WXH0,0,train
CCL21,CNGA1,O00585,P29973,0,train
TNC,ITGB1,P24821,P05556,1,train
COL8A1,ITGA2,P27658,P17301,1,train
IFNL3,GYPB,Q8IZI9,P06028,0,train
LAMA3,CLCN1,Q16787,P35523,0,train
FN1,ITGB8,P02751,P26012,1,train
FGF6,FGFR4,P10767,P22455,1,train
CALM1,TRPC3,P0DP23,Q13507,1,train
WNT16,PCDHA3,Q9UBV4,Q9Y5H8,0,train
APOE,TRAJ42,P02649,A0A075B6Y9,0,train
BDNF,CD300LB,P23560,A8K4G0,0,train
TPH1,OR52K1,P17752,Q8NGK4,0,train
NPS,TMEM63C,P0C0P6,Q9P1W3,0,train
PTN,KCNC2,P21246,Q96PR1,0,train
CALM1,KCNQ1,P0DP23,P51787,1,train
COL4A1,CD47,P02462,Q08722,1,train
CCL5,GPR1,P13501,P46091,0,train
ADM2,GPR50,Q7Z4H4,Q13585,0,train
SPP1,TNFRSF9,P10451,Q07011,0,train
RARRES2,C3AR1,Q99969,Q16581,0,train
VEGFA,KDR,P15692,P35968,1,train
FGF1,CDH10,P05230,Q9Y6N8,0,train
AVP,TRBV12-3,P01185,P01733,0,train
HSPG2,PTPRS,P98160,Q13332,1,train
GREM1,KDR,O60565,P35968,1,train
PPBP,LGR4,P02775,Q9BXB1,0,train
B2M,TFRC,P61769,P02786,1,train
TNFSF13,TNFRSF11B,O75888,O00300,1,train
CNTN2,NRCAM,Q02246,Q92823,1,train
CD14,SMCR8,P08571,Q8TEV9,0,train
THBS1,ITGB1,P07996,P05556,1,train
SPON2,GCSAM,Q9BUD6,Q8N6F7,0,train
THBS2,ITGB1,P35442,P05556,1,train
ADM2,OR6K6,Q7Z4H4,Q8NGW6,0,train
CRISP3,ALDH3B1,P54108,P43353,0,train
FST,BMPR1B,P19883,O00238,1,train
RLN1,RXFP2,P04808,Q8WXD0,1,train
EDN3,WIPF1,P14138,O43516,0,train
RTN4,TNFRSF19,Q9NQC3,Q9NS68,1,train
APOB,TRIP10,P04114,Q15642,0,train
COL4A1,C9orf57,P02462,Q5W0N0,0,train
COL14A1,FAM163B,Q05707,P0C2L3,0,train
POMC,MFAP3,P01189,P55082,0,train
CALM2,TRPC5,P0DP24,Q9UL62,1,train
VTN,SI,P04004,P14410,0,train
PTH2,VIPR1,Q96A98,P32241,1,train
NRG1,TMEM200C,Q02297,A6NKL6,0,train
B2M,HLA-F,P61769,P30511,1,train
RTN4,LINGO1,Q9NQC3,Q96FE5,1,train
AGRP,NKAIN1,O00253,Q4KMZ8,0,train
WNT7B,FZD1,P56706,Q9UP38,1,train
CXCL2,NKAIN1,P19875,Q4KMZ8,0,train
CXCL5,CLEC4C,P42830,Q8WTT0,0,train
HSPA8,STK16,P11142,O75716,0,train
VCL,TRBJ1-6,P18206,A0A0J9YWX3,0,train
MTMR4,SMAD3,Q9NYA4,P84022,1,train
NTN1,IL22RA2,O95631,Q969J5,0,train
APOC1,NPY5R,P02654,Q15761,0,train
IL16,NRAC,Q14005,Q8N912,0,train
ASIP,SYT13,P42127,Q7L8C5,0,train
PLG,TMEM150B,P00747,A6NC51,0,train
CD24,SIGLEC10,P25063,Q96LC7,1,train
B2M,CPEB1,P61769,Q9BZB8,0,train
FGG,STMN4,P02679,Q9H169,0,train
LAMA1,OR2T12,P25391,Q8NG77,0,train
OBP2A,TRAF3IP1,Q9NY56,Q8TDR0,0,train
COL1A2,CD36,P08123,P16671,1,train
CNTF,IFT46,P26441,Q9NQC8,0,train
IFNA17,IFNAR2,P01571,P48551,1,train
ARF4,OR5B12,P18085,Q96R08,0,train
IFNA17,NPC1L1,P01571,Q9UHC9,0,train
COLQ,TNK2,Q9Y215,Q07912,0,train
CD14,MAPK8IP3,P08571,Q9UPT6,0,train
IL13,ICOS,P35225,Q9Y6W8,0,train
IL16,GRIN2D,Q14005,O15399,1,train
CALM1,EGFR,P0DP23,P00533,1,train
PDGFB,PDGFRA,P01127,P16234,1,train
ANGPTL3,ITGAV,Q9Y5C1,P06756,1,train
NPS,GPR20,P0C0P6,Q99678,1,train
ICAM3,CLEC4M,P32942,Q9H2X3,1,train
LHB,TRBV5-3,P01229,A0A0A0MS03,0,train
FGG,GPR88,P02679,Q9GZN0,0,train
CALM1,SCTR,P0DP23,P47872,1,train
INHBB,ACVR1,P09529,Q04771,1,train
BMP6,ACVR1,P22004,Q04771,1,train
ADAM10,CD3D,O14672,P04234,0,train
TNC,ITGA9,P24821,Q13797,1,train
GDNF,LRP10,P39905,Q7Z4F1,0,train
IL2,NGFR,P60568,P08138,1,train
APOB,RHOD,P04114,O00212,0,train
JAM3,ITGB2,Q9BX67,P05107,1,train
IL18,IL18BP,Q14116,O95998,1,train
EFNA1,TMEM138,P20827,Q9NPI0,0,train
ANGPTL3,ACTR3B,Q9Y5C1,Q9P1U1,0,train
FGF12,STK32A,P61328,Q8WU08,0,train
FGF3,FGFR3,P11487,P22607,1,train
HMGB1,CLECL1,P09429,Q8IZS7,0,train
POMC,RAMP2,P01189,O60895,1,train
AGT,TMEM205,P01019,Q6UW68,0,train
BMP3,ACVR2B,P12645,Q13705,1,train
COL4A3,ITGA1,Q01955,P56199,1,train
FGF17,PALMD,O60258,Q9NP74,0,train
ARPC5,CLTRN,O15511,Q9HBJ8,0,train
FGF13,SCN5A,Q92913,Q14524,1,train
S100A9,FXYD1,P06702,O00168,0,train
CCN1,ITGB3,O00622,P05106,1,train
POMC,STRN,P01189,O43815,0,train
APP,KIRREL1,P05067,Q96J84,0,train
ADAM10,PI4K2A,O14672,Q9BTU6,0,train
CXCL11,TRBV6-4,O14625,A0A1B0GX49,0,train
ICAM4,ITGB3,Q14773,P05106,1,train
DSPP,OR52B4,Q9NZW4,Q8NGK2,0,train
LAMA1,TRAV2,P25391,A0A0B4J234,0,train
SEMA4D,ERBB2,Q92854,P04626,1,train
LAMC1,OR2G6,P11047,Q5TZ20,0,train
ADAM10,CD44,O14672,P16070,1,train
INHA,C1GALT1,P05111,Q9NS00,0,train
PF4,PROCR,P02776,Q9UNN8,1,train
MMP12,CD7,P39900,P09564,0,train
CCN6,SORL1,O95389,Q92673,1,train
BST2,LILRA4,Q10589,P59901,1,train
AFDN,ABCC1,P55196,P33527,0,train
NRG1,GPC1,Q02297,P35052,1,train
PLAU,ABCC3,P00749,O15438,0,train
WNT1,CAMK2B,P04628,Q13554,0,train
ADAM15,ITGB3,Q13444,P05106,1,train
TSHB,GPR84,P01222,Q9NQS5,1,train
GIP,RAMP3,P09681,O60896,1,train
CAMP,KIDINS220,P49913,Q9ULH0,0,train
GNAI2,SPPL2C,P04899,Q8IUH8,0,train
ICAM1,ITGB2,P05362,P05107,1,train
INSL3,SLC46A2,P51460,Q9BY10,0,train
ADCYAP1,TSHR,P18509,P16473,1,train
WNT2,FZD8,P09544,Q9H461,1,train
CCL5,SPATA25,P13501,Q9BR10,0,train
KNG1,ADGRV1,P01042,Q8WXG9,0,train
BMP8A,BMPR2,Q7Z5Y6,Q13873,1,train
GIP,HNRNPU,P09681,Q00839,0,train
DSC2,DSG1,Q02487,Q02413,1,train
CORT,ABHD2,O00230,P08910,0,train
RLN2,SMIM22,P04090,K7EJ46,0,train
TGM2,ITGB1,P21980,P05556,1,train
COL4A3,CD247,Q01955,P20963,0,train
TGFB3,PRKCD,P10600,Q05655,0,train
C5,ERRFI1,P01031,Q9UJM3,0,train
GCG,ERC2,P01275,O15083,0,train
SFTPD,DPP4,P35247,P27487,0,train
FGF22,ERVK-24,Q9HCT0,P63145,0,train
SAA1,KCNH7,P0DJI8,Q9NS40,0,train
CCL21,CXCR3,O00585,P49682,1,train
RLN3,ADRA2A,Q8WXF3,P08913,1,train
IL37,IL1RAPL1,Q9NZH6,Q9NZN1,1,train
CXCL8,KDR,P10145,P35968,1,train
SEMA3A,LPAR4,Q14563,Q99677,0,train
HBEGF,KLRB1,Q99075,Q12918,0,train
POMC,RIC1,P01189,Q4ADV7,0,train
WNT2,MCEMP1,P09544,Q8IX19,0,train
EFNA1,EPHA3,P20827,P29320,1,train
SST,SSTR5,P61278,P35346,1,train
THBS1,SFT2D1,P07996,Q8WV19,0,train
BMP2,BMPR2,P12643,Q13873,1,train
CCL13,WWP1,Q99616,Q9H0M0,0,train
HMGB1,THBD,P09429,P07204,1,train
NGF,MAGED1,P01138,Q9Y5V3,1,train
TNC,ATP1B2,P24821,P14415,0,train
CCL7,ACKR4,P80098,Q9NPB9,1,train
WNT3A,DNAJC18,P56704,Q9H819,0,train
GDF9,SCN5A,O60383,Q14524,0,train
WNT3,FZD7,P56703,O75084,1,train
APP,MS4A14,P05067,Q96JA4,0,train
B2M,KIR2DL1,P61769,P43626,1,train
APOB,CCDC88B,P04114,A6NC98,0,train
PF4,THBD,P02776,P07204,1,train
FGB,TLR4,P02675,O00206,1,train
APOA2,LDLR,P02652,P01130,1,train
CCL5,CCR1,P13501,P32246,1,train
LAMA5,STX1B,O15230,P61266,0,train
CORT,SSTR3,O00230,P32745,1,train
CKLF,LRP6,Q9UBR5,O75581,1,train
KNG1,ATF4,P01042,P18848,0,train
WNT3A,LRP6,P56704,O75581,1,train
VTN,GPR87,P04004,Q9BY21,0,train
FGF1,FGFR4,P05230,P22455,1,train
FGF18,FGFR1,O76093,P11362,1,train
LPA,ADGRB2,P08519,O60241,0,train
CXCL3,ADRA2A,P19876,P08913,1,train
APOE,MAGI1,P02649,Q96QZ7,0,train
PLAU,LRP2,P00749,P98164,1,train
IL36A,OR13C4,Q9UHA7,Q8NGS5,0,train
CALM1,CDH10,P0DP23,Q9Y6N8,0,train
CCL4,CCR3,P13236,P51677,1,train
GNAI2,ADCY8,P04899,P40145,1,train
NLGN1,NRXN3,Q8N2Q7,Q9Y4C0,1,train
EFNA4,EPHA6,P52798,Q9UF33,1,train
CCN2,ERBB4,P29279,Q15303,1,train
CDH1,CDH7,P12830,Q9ULB5,0,train
SEMA5A,MET,Q13591,P08581,1,train
LGALS1,PTPRC,P09382,P08575,1,train
MST1,MST1R,P26927,Q04912,1,train
INHBA,ACVR1,P08476,Q04771,1,train
CXCL2,GRM7,P19875,Q14831,1,train
COL2A1,CMTM3,P02458,Q96MX0,0,train
LEP,LEPR,P41159,P48357,1,train
GNRH1,ABCA5,P01148,Q8WWZ7,0,train
TNFSF15,ARL8A,O95150,Q96BM9,0,train
VCAN,CD44,P13611,P16070,1,train
TLN1,ITGB5,Q9Y490,P18084,1,train
CNTF,EGFR,P26441,P00533,1,train
TNC,ITGB6,P24821,P18564,1,train
FGF8,HOATZ,P55075,Q6PI97,0,train
GAL,MYADML2,P22466,A6NDP7,0,train
CCL25,TNFRSF10C,O15444,O14798,0,train
ADIPOQ,ATP8A1,Q15848,Q9Y2Q0,0,train
INHBE,ACVR2A,P58166,P27037,1,train
SLIT2,SDC1,O94813,P18827,1,train
CALM3,KCNQ5,P0DP25,Q9NR82,1,train
CEACAM16,TECTB,Q2WEN9,Q96PL2,1,train
LAMC1,CLIC5,P11047,Q9NZA1,0,train
TFF1,TANC2,P04155,Q9HCD6,0,train
NMU,TSPAN16,P48645,Q9UKR8,0,train
COL6A2,ITGA1,P12110,P56199,1,train
SEMA3F,NRP2,Q13275,O60462,1,train
ARF6,SMAP1,P62330,Q8IYB5,1,train
HLA-A,ERBB2,P04439,P04626,1,train
FN1,TFR2,P02751,Q9UP52,0,train
GNAI2,F2R,P04899,P25116,1,train
MSTN,FZD4,O14793,Q9ULV1,0,train
GALP,ADGRL1,Q9UBC7,O94910,0,train
CCL3,ACKR2,P10147,O00590,1,train
CXCL8,GRM7,P10145,Q14831,1,train
CCL5,CCR3,P13501,P51677,1,train
LRIG1,MET,Q96JA1,P08581,1,train
IL22,IL22RA1,Q9GZX6,Q8N6P7,1,train
EFNA5,FZD1,P52803,Q9UP38,0,train
FGF6,PAK2,P10767,Q13177,0,train
CXCL6,CMTM5,P80162,Q96DZ9,0,train
CORT,APPL1,O00230,Q9UKG1,0,train
PF4,LGR5,P02776,O75473,0,train
FGA,TLR4,P02671,O00206,1,train
APLN,ATP6AP2,Q9ULZ1,O75787,0,train
RELN,VLDLR,P78509,P98155,1,train
CXCL11,SUMO1,O14625,P63165,0,train
IL17B,OR51L1,Q9UHF5,Q8NGJ5,0,train
CCL5,ACKR1,P13501,Q16570,1,train
YARS1,DOCK8,P54577,Q8NF50,0,train
INS,TRBV27,P01308,A0A0K0K1C4,0,train
CCL7,ACP4,P80098,Q9BZG2,0,train
EFNA4,ROPN1L,P52798,Q96C74,0,train
FN1,ITGA2B,P02751,P08514,1,train
FGF6,FGFR3,P10767,P22607,1,train
SAA1,FPR1,P0DJI8,P21462,1,train
NRTN,GFRA1,Q99748,P56159,1,train
PF4,CXCR3,P02776,P49682,1,train
CALCA,CALCRL,P01258,Q16602,1,train
BTC,SLC39A12,P35070,Q504Y0,0,train
WNT3A,FZD6,P56704,O60353,1,train
WNT1,FZD1,P04628,Q9UP38,1,train
BMP3,BMPR2,P12645,Q13873,1,train
NPPA,RASD1,P01160,Q9Y272,0,train
RIMS2,IZUMO3,Q9UQ26,Q5VZ72,0,train
CALM1,PTK7,P0DP23,Q13308,0,train
EFNA1,EPHA4,P20827,P54764,1,train
SHANK1,PTP4A2,Q9Y566,Q12974,0,train
SHBG,CYYR1,P04278,Q96J86,0,train
OXT,HLA-DQA1,P01178,P01909,0,train
CCL8,CCR1,P80075,P32246,1,train
SERPINC1,TMEM41A,P01008,Q96HV5,0,train
HSP90B1,TLR2,P14625,O60603,1,train
CNTN4,SIGLEC12,Q8IWV2,Q96PQ1,0,train
HLA-C,CD99L2,P10321,Q8TCZ2,0,train
APOB,CAPN2,P04114,P17655,0,train
IFNA4,IFNAR2,P05014,P48551,1,train
AVP,LDLR,P01185,P01130,1,train
HRAS,MUC3B,P01112,Q9H195,0,train
PTPN6,ERVK13-1,P29350,Q9NX77,0,train
SLIT1,MAX,O75093,P61244,0,train
OBP2A,OR1G1,Q9NY56,P47890,1,train
GRN,SORT1,P28799,Q99523,1,train
PPY,CCR8,P01298,P51685,0,train
IL23A,IL23R,Q9NPF7,Q5VWK5,1,train
LGALS3BP,OR4F5,Q08380,Q8NH21,0,train
WNT3,FZD5,P56703,Q13467,1,train
HLA-B,PRKAR1B,P01889,P31321,0,train
PLG,IGF2R,P00747,P11717,1,train
CDH1,EGFR,P12830,P00533,1,train
ALOX5AP,CYFIP1,P20292,Q7L576,0,train
APP,OR5H6,P05067,Q8NGV6,0,train
RLN2,RXFP3,P04090,Q9NSD7,1,train
BMP15,CD2AP,O95972,Q9Y5K6,0,train
APOE,PDE4A,P02649,P27815,0,train
FGF6,PIK3C2A,P10767,O00443,0,train
CALM1,OPRM1,P0DP23,P35372,1,train
SLIT2,CDC42SE1,O94813,Q9NRR8,0,train
CCL25,CMTM3,O15444,Q96MX0,0,train
NTNG2,LRRC4,Q96CW9,Q9HBW1,1,train
GNAI2,NOL3,P04899,O60936,0,train
WNT3,FZD1,P56703,Q9UP38,1,train
FGA,ITGAD,P02671,Q13349,1,train
HLA-C,CALHM6,P10321,Q5R3K3,0,train
PLAU,ITGAM,P00749,P11215,1,train
VEGFD,FLT4,O43915,P35916,1,train
IL18,PKD2L1,Q14116,Q9P0L9,0,train
TNC,ITGB3,P24821,P05106,1,train
RIMS1,C10orf105,Q86UR5,Q8TEF2,0,train
IL11,IL11RA,P20809,Q14626,1,train
COL6A1,ITGA2,P12109,P17301,1,train
IL33,OPN4,O95760,Q9UHM6,0,train
AFDN,NECTIN2,P55196,Q92692,1,train
CALM1,FXYD5,P0DP23,Q96DB9,0,train
COL1A2,ITGA1,P08123,P56199,1,train
