name,gene,uniprot,location,origin,lr_type
AF-A0A075B6N2-F1-model_v4,TRBV20-1,A0A075B6N2,Cell membrane,u,receptor
AF-A0A075B6N3-F1-model_v4,TRBV24-1,A0A075B6N3,Cell membrane,u,receptor
AF-A0A075B6N4-F1-model_v4,TRBV25-1,A0A075B6N4,Cell membrane,u,receptor
AF-A0A075B6P5-F1-model_v4,IGKV2-28,A0A075B6P5,Secreted;Cell membrane,u,ligand
AF-A0A075B6Q5-F1-model_v4,IGHV3-64,A0A075B6Q5,Secreted;Cell membrane,u,ligand
AF-A0A075B6R0-F1-model_v4,TRGV2,A0A075B6R0,Cell membrane,u,receptor
AF-A0A075B6R2-F1-model_v4,IGHV4-4,A0A075B6R2,Secreted;Cell membrane,u,ligand
AF-A0A075B6R9-F1-model_v4,IGKV2D-24,A0A075B6R9,Secreted;Cell membrane,u,ligand
AF-A0A075B6S0-F1-model_v4,TRGJ1,A0A075B6S0,Cell membrane,u,receptor
AF-A0A075B6S2-F1-model_v4,IGKV2D-29,A0A075B6S2,Secreted;Cell membrane,u,ligand
AF-A0A075B6S4-F1-model_v4,IGKV1D-17,A0A075B6S4,Secreted;Cell membrane,u,ligand
AF-A0A075B6S5-F1-model_v4,IGKV1-27,A0A075B6S5,Secreted;Cell membrane,u,ligand
AF-A0A075B6S6-F1-model_v4,IGKV2D-30,A0A075B6S6,Secreted;Cell membrane,u,ligand
AF-A0A075B6S9-F1-model_v4,IGKV1-37,A0A075B6S9,Secreted;Cell membrane,u,ligand
AF-A0A075B6T6-F1-model_v4,TRAV12-2,A0A075B6T6,Cell membrane,u,receptor
AF-A0A075B6T7-F1-model_v4,TRAV6,A0A075B6T7,Cell membrane,u,receptor
AF-A0A075B6T8-F1-model_v4,TRAV9-1,A0A075B6T8,Cell membrane,u,receptor
AF-A0A075B6U4-F1-model_v4,TRAV7,A0A075B6U4,Cell membrane,u,receptor
AF-A0A075B6V5-F1-model_v4,TRAV36DV7,A0A075B6V5,Cell membrane,u,receptor
AF-A0A075B6W5-F1-model_v4,TRAV23DV6,A0A075B6W5,Cell membrane,u,receptor
AF-A0A075B6X5-F1-model_v4,TRAV18,A0A075B6X5,Cell membrane,u,receptor
AF-A0A075B6Y3-F1-model_v4,TRAJ3,A0A075B6Y3,Cell membrane,u,receptor
AF-A0A075B6Y9-F1-model_v4,TRAJ42,A0A075B6Y9,Cell membrane,u,receptor
AF-A0A075B700-F1-model_v4,TRAJ31,A0A075B700,Cell membrane,u,receptor
AF-A0A075B706-F1-model_v4,TRDJ1,A0A075B706,Cell membrane,u,receptor
AF-A0A075B734-F1-model_v4,LOC100509620,A0A075B734,Membrane,u,receptor
AF-A0A087WSX0-F1-model_v4,IGLV5-45,A0A087WSX0,Secreted;Cell membrane,u,ligand
AF-A0A087WSY4-F1-model_v4,IGHV4-30-2,A0A087WSY4,Secreted;Cell membrane,u,ligand
AF-A0A087WSY6-F1-model_v4,IGKV3D-15,A0A087WSY6,Secreted;Cell membrane,u,ligand
AF-A0A087WSZ0-F1-model_v4,IGKV1D-8,A0A087WSZ0,Secreted;Cell membrane,u,ligand
AF-A0A087WSZ9-F1-model_v4,TRAV30,A0A087WSZ9,Cell membrane,u,receptor
AF-A0A087WT01-F1-model_v4,TRAV27,A0A087WT01,Cell membrane,u,receptor
AF-A0A087WT02-F1-model_v4,TRAV9-2,A0A087WT02,Cell membrane,u,receptor
AF-A0A087WT03-F1-model_v4,TRAV26-1,A0A087WT03,Cell membrane,u,receptor
AF-A0A087WTH1-F1-model_v4,TMEM265,A0A087WTH1,Membrane,u,receptor
AF-A0A087WTH5-F1-model_v4,KCNE1B,A0A087WTH5,Membrane,u,receptor
AF-A0A087WV62-F1-model_v4,TRBV16,A0A087WV62,Cell membrane,u,receptor
AF-A0A087WVF3-F1-model_v4,TBC1D3D,A0A087WVF3,Cell membrane,u,receptor
AF-A0A087WW87-F1-model_v4,IGKV2-40,A0A087WW87,Secreted;Cell membrane,u,ligand
AF-A0A087WXS9-F1-model_v4,TBC1D3I,A0A087WXS9,Cell membrane,u,receptor
AF-A0A087X0K7-F1-model_v4,TRBV17,A0A087X0K7,Cell membrane,u,receptor
AF-A0A087X0M5-F1-model_v4,TRBV18,A0A087X0M5,Cell membrane,u,receptor
AF-A0A087X179-F1-model_v4,TBC1D3E,A0A087X179,Cell membrane,u,receptor
AF-A0A087X1C5-F1-model_v4,CYP2D7,A0A087X1C5,Membrane;Cytoplasm;Mitochondrion,u,receptor
AF-A0A087X1G2-F1-model_v4,TBC1D3K,A0A087X1G2,Cell membrane,u,receptor
AF-A0A096LNP1-F1-model_v4,DEFB131B,A0A096LNP1,Secreted,u,ligand
AF-A0A096LP01-F1-model_v4,SMIM26,A0A096LP01,Membrane,u,receptor
AF-A0A096LPK9-F1-model_v4,OR4N4C,A0A096LPK9,Membrane,u,receptor
AF-A0A0A0MRZ7-F1-model_v4,IGKV2D-26,A0A0A0MRZ7,Secreted;Cell membrane,u,ligand
AF-A0A0A0MRZ8-F1-model_v4,IGKV3D-11,A0A0A0MRZ8,Secreted;Cell membrane,u,ligand
AF-A0A0A0MRZ9-F1-model_v4,IGLV5-52,A0A0A0MRZ9,Secreted;Cell membrane,u,ligand
AF-A0A0A0MS00-F1-model_v4,IGLV3-32,A0A0A0MS00,Secreted;Cell membrane,u,ligand
AF-A0A0A0MS01-F1-model_v4,TRGV10,A0A0A0MS01,Cell membrane,u,receptor
AF-A0A0A0MS02-F1-model_v4,TRGV1,A0A0A0MS02,Cell membrane,u,receptor
AF-A0A0A0MS03-F1-model_v4,TRBV5-3,A0A0A0MS03,Cell membrane,u,receptor
AF-A0A0A0MS04-F1-model_v4,TRBV6-7,A0A0A0MS04,Cell membrane,u,receptor
AF-A0A0A0MS05-F1-model_v4,TRBV5-7,A0A0A0MS05,Cell membrane,u,receptor
AF-A0A0A0MS06-F1-model_v4,TRBV23-1,A0A0A0MS06,Cell membrane,u,receptor
AF-A0A0A0MS14-F1-model_v4,IGHV1-45,A0A0A0MS14,Secreted;Cell membrane,u,ligand
AF-A0A0A0MS15-F1-model_v4,IGHV3-49,A0A0A0MS15,Secreted;Cell membrane,u,ligand
AF-A0A0A0MT36-F1-model_v4,IGKV6D-21,A0A0A0MT36,Secreted;Cell membrane,u,ligand
AF-A0A0A0MT70-F1-model_v4,TRBJ2-6,A0A0A0MT70,Cell membrane,u,receptor
AF-A0A0A0MT76-F1-model_v4,IGLJ1,A0A0A0MT76,Secreted;Cell membrane,u,ligand
AF-A0A0A0MT87-F1-model_v4,TRBJ2-4,A0A0A0MT87,Cell membrane,u,receptor
AF-A0A0A0MT94-F1-model_v4,TRBJ2-2,A0A0A0MT94,Cell membrane,u,receptor
AF-A0A0A0MTA7-F1-model_v4,TRBJ2-1,A0A0A0MTA7,Cell membrane,u,receptor
AF-A0A0A6YYC5-F1-model_v4,TRAV14DV4,A0A0A6YYC5,Cell membrane,u,receptor
AF-A0A0A6YYD4-F1-model_v4,TRBV13,A0A0A6YYD4,Cell membrane,u,receptor
AF-A0A0A6YYG2-F1-model_v4,TRBV6-6,A0A0A6YYG2,Cell membrane,u,receptor
AF-A0A0A6YYG3-F1-model_v4,TRBV6-8,A0A0A6YYG3,Cell membrane,u,receptor
AF-A0A0A6YYJ7-F1-model_v4,TRAV8-3,A0A0A6YYJ7,Cell membrane,u,receptor
AF-A0A0A6YYK1-F1-model_v4,TRAV8-1,A0A0A6YYK1,Cell membrane,u,receptor
AF-A0A0A6YYK4-F1-model_v4,TRBV7-1,A0A0A6YYK4,Cell membrane,u,receptor
AF-A0A0A6YYK6-F1-model_v4,TRAV16,A0A0A6YYK6,Cell membrane,u,receptor
AF-A0A0A6YYK7-F1-model_v4,TRAV19,A0A0A6YYK7,Cell membrane,u,receptor
AF-A0A0B4J1U3-F1-model_v4,IGLV1-36,A0A0B4J1U3,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1U4-F1-model_v4,TRGV5,A0A0B4J1U4,Cell membrane,u,receptor
AF-A0A0B4J1U6-F1-model_v4,TRBV9,A0A0B4J1U6,Cell membrane,u,receptor
AF-A0A0B4J1U7-F1-model_v4,IGHV6-1,A0A0B4J1U7,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1V0-F1-model_v4,IGHV3-15,A0A0B4J1V0,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1V1-F1-model_v4,IGHV3-21,A0A0B4J1V1,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1V2-F1-model_v4,IGHV2-26,A0A0B4J1V2,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1V6-F1-model_v4,IGHV3-73,A0A0B4J1V6,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1V7-F1-model_v4,IGHV7-81,A0A0B4J1V7,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1X5-F1-model_v4,IGHV3-74,A0A0B4J1X5,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1X8-F1-model_v4,IGHV3-43,A0A0B4J1X8,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1Y8-F1-model_v4,IGLV9-49,A0A0B4J1Y8,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1Y9-F1-model_v4,IGHV3-72,A0A0B4J1Y9,Secreted;Cell membrane,u,ligand
AF-A0A0B4J1Z2-F1-model_v4,IGKV1D-43,A0A0B4J1Z2,Secreted;Cell membrane,u,ligand
AF-A0A0B4J200-F1-model_v4,TRBJ2-3,A0A0B4J200,Cell membrane,u,receptor
AF-A0A0B4J234-F1-model_v4,TRAV2,A0A0B4J234,Cell membrane,u,receptor
AF-A0A0B4J235-F1-model_v4,TRAV13-2,A0A0B4J235,Cell membrane,u,receptor
AF-A0A0B4J237-F1-model_v4,TRAV8-2,A0A0B4J237,Cell membrane,u,receptor
AF-A0A0B4J238-F1-model_v4,TRAV1-2,A0A0B4J238,Cell membrane,u,receptor
AF-A0A0B4J240-F1-model_v4,TRAV10,A0A0B4J240,Cell membrane,u,receptor
AF-A0A0B4J241-F1-model_v4,TRAV13-1,A0A0B4J241,Cell membrane,u,receptor
AF-A0A0B4J244-F1-model_v4,TRAV3,A0A0B4J244,Cell membrane,u,receptor
AF-A0A0B4J245-F1-model_v4,TRAV12-1,A0A0B4J245,Cell membrane,u,receptor
AF-A0A0B4J248-F1-model_v4,TRAV1-1,A0A0B4J248,Cell membrane,u,receptor
AF-A0A0B4J249-F1-model_v4,TRAV5,A0A0B4J249,Cell membrane,u,receptor
AF-A0A0B4J262-F1-model_v4,TRAV8-6,A0A0B4J262,Cell membrane,u,receptor
AF-A0A0B4J263-F1-model_v4,TRAV39,A0A0B4J263,Cell membrane,u,receptor
AF-A0A0B4J264-F1-model_v4,TRAV38-1,A0A0B4J264,Cell membrane,u,receptor
AF-A0A0B4J265-F1-model_v4,TRAV26-2,A0A0B4J265,Cell membrane,u,receptor
AF-A0A0B4J266-F1-model_v4,TRAV41,A0A0B4J266,Cell membrane,u,receptor
AF-A0A0B4J268-F1-model_v4,TRAV4,A0A0B4J268,Cell membrane,u,receptor
AF-A0A0B4J271-F1-model_v4,TRAV12-3,A0A0B4J271,Cell membrane,u,receptor
AF-A0A0B4J272-F1-model_v4,TRAV24,A0A0B4J272,Cell membrane,u,receptor
AF-A0A0B4J273-F1-model_v4,TRAV34,A0A0B4J273,Cell membrane,u,receptor
AF-A0A0B4J274-F1-model_v4,TRAV20,A0A0B4J274,Cell membrane,u,receptor
AF-A0A0B4J275-F1-model_v4,TRAV17,A0A0B4J275,Cell membrane,u,receptor
AF-A0A0B4J276-F1-model_v4,TRAV25,A0A0B4J276,Cell membrane,u,receptor
AF-A0A0B4J277-F1-model_v4,TRAV22,A0A0B4J277,Cell membrane,u,receptor
AF-A0A0B4J279-F1-model_v4,TRAV21,A0A0B4J279,Cell membrane,u,receptor
AF-A0A0B4J280-F1-model_v4,TRAV40,A0A0B4J280,Cell membrane,u,receptor
AF-A0A0B4J2D9-F1-model_v4,IGKV1D-13,A0A0B4J2D9,Secreted;Cell membrane,u,ligand
AF-A0A0B4J2E0-F1-model_v4,TRBV12-4,A0A0B4J2E0,Cell membrane,u,receptor
AF-A0A0B4J2H0-F1-model_v4,IGHV1-69D,A0A0B4J2H0,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH24-F1-model_v4,IGKV6-21,A0A0C4DH24,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH25-F1-model_v4,IGKV3D-20,A0A0C4DH25,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH26-F1-model_v4,IGKV6D-41,A0A0C4DH26,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH27-F1-model_v4,TRGV8,A0A0C4DH27,Cell membrane,u,receptor
AF-A0A0C4DH28-F1-model_v4,TRGV4,A0A0C4DH28,Cell membrane,u,receptor
AF-A0A0C4DH29-F1-model_v4,IGHV1-3,A0A0C4DH29,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH30-F1-model_v4,IGHV3-16,A0A0C4DH30,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH31-F1-model_v4,IGHV1-18,A0A0C4DH31,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH32-F1-model_v4,IGHV3-20,A0A0C4DH32,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH33-F1-model_v4,IGHV1-24,A0A0C4DH33,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH34-F1-model_v4,IGHV4-28,A0A0C4DH34,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH35-F1-model_v4,IGHV3-35,A0A0C4DH35,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH36-F1-model_v4,IGHV3-38,A0A0C4DH36,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH38-F1-model_v4,IGHV5-51,A0A0C4DH38,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH39-F1-model_v4,IGHV1-58,A0A0C4DH39,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH41-F1-model_v4,IGHV4-61,A0A0C4DH41,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH42-F1-model_v4,IGHV3-66,A0A0C4DH42,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH43-F1-model_v4,IGHV2-70D,A0A0C4DH43,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH55-F1-model_v4,IGKV3D-7,A0A0C4DH55,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH59-F1-model_v4,TRBV5-4,A0A0C4DH59,Cell membrane,u,receptor
AF-A0A0C4DH62-F1-model_v4,IGHJ1,A0A0C4DH62,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH67-F1-model_v4,IGKV1-8,A0A0C4DH67,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH68-F1-model_v4,IGKV2-24,A0A0C4DH68,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH69-F1-model_v4,IGKV1-9,A0A0C4DH69,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH72-F1-model_v4,IGKV1-6,A0A0C4DH72,Secreted;Cell membrane,u,ligand
AF-A0A0C4DH73-F1-model_v4,IGKV1-12,A0A0C4DH73,Secreted;Cell membrane,u,ligand
AF-A0A0C5B5G6-F1-model_v4,MT-RNR1,A0A0C5B5G6,Secreted;Mitochondrion;Nucleus,u,ligand
AF-A0A0D9SF12-F1-model_v4,CCDC163,A0A0D9SF12,Membrane,u,receptor
AF-A0A0G2JMI3-F1-model_v4,IGHV1-69-2,A0A0G2JMI3,Secreted;Cell membrane,u,ligand
AF-A0A0G2JS06-F1-model_v4,IGLV5-39,A0A0G2JS06,Secreted;Cell membrane,u,ligand
AF-A0A0J9YVY3-F1-model_v4,IGHV7-4-1,A0A0J9YVY3,Secreted;Cell membrane,u,ligand
AF-A0A0J9YWP8-F1-model_v4,TRBJ1-3,A0A0J9YWP8,Cell membrane,u,receptor
AF-A0A0J9YWX3-F1-model_v4,TRBJ1-6,A0A0J9YWX3,Cell membrane,u,receptor
AF-A0A0J9YX35-F1-model_v4,IGHV3-64D,A0A0J9YX35,Secreted;Cell membrane,u,ligand
AF-A0A0J9YX75-F1-model_v4,TRBV6-9,A0A0J9YX75,Cell membrane,u,receptor
AF-A0A0J9YXG5-F1-model_v4,TRBJ1-4,A0A0J9YXG5,Cell membrane,u,receptor
AF-A0A0J9YXM7-F1-model_v4,TRBJ1-5,A0A0J9YXM7,Cell membrane,u,receptor
AF-A0A0J9YXX1-F1-model_v4,IGHV5-10-1,A0A0J9YXX1,Secreted;Cell membrane,u,ligand
AF-A0A0J9YXY3-F1-model_v4,TRBV6-2,A0A0J9YXY3,Cell membrane,u,receptor
AF-A0A0K0K1A3-F1-model_v4,TRBV10-1,A0A0K0K1A3,Cell membrane,u,receptor
AF-A0A0K0K1A5-F1-model_v4,TRBV6-5,A0A0K0K1A5,Cell membrane,u,receptor
AF-A0A0K0K1B3-F1-model_v4,TRBV30,A0A0K0K1B3,Cell membrane,u,receptor
AF-A0A0K0K1C0-F1-model_v4,TRBV11-1,A0A0K0K1C0,Cell membrane,u,receptor
AF-A0A0K0K1C4-F1-model_v4,TRBV27,A0A0K0K1C4,Cell membrane,u,receptor
AF-A0A0K0K1D8-F1-model_v4,TRBV6-1,A0A0K0K1D8,Cell membrane,u,receptor
AF-A0A0K0K1E9-F1-model_v4,TRBV7-7,A0A0K0K1E9,Cell membrane,u,receptor
AF-A0A0K0K1G6-F1-model_v4,TRBV10-3,A0A0K0K1G6,Cell membrane,u,receptor
AF-A0A0K0K1G8-F1-model_v4,TRBV10-2,A0A0K0K1G8,Cell membrane,u,receptor
AF-A0A0K2S4Q6-F1-model_v4,CD300H,A0A0K2S4Q6,Membrane;Secreted,u,ligand
AF-A0A0U1RQS6-F1-model_v4,TMEM275,A0A0U1RQS6,Membrane,u,receptor
AF-A0A0U1RRA0-F1-model_v4,ZNF593OS,A0A0U1RRA0,Membrane,u,receptor
AF-A0A0U1RRN3-F1-model_v4,SPTY2D1OS,A0A0U1RRN3,Membrane,u,receptor
AF-A0A0X1KG70-F1-model_v4,OR4M2B,A0A0X1KG70,Membrane,u,receptor
AF-A0A1B0GTI8-F1-model_v4,TMEM272,A0A1B0GTI8,Membrane,u,receptor
AF-A0A1B0GTK4-F1-model_v4,FAM237A,A0A1B0GTK4,Membrane,u,receptor
AF-A0A1B0GTQ4-F1-model_v4,MYMX,A0A1B0GTQ4,Cell membrane,u,receptor
AF-A0A1B0GTR0-F1-model_v4,EDDM13,A0A1B0GTR0,Secreted,u,ligand
AF-A0A1B0GTU2-F1-model_v4,CTXND1,A0A1B0GTU2,Membrane,u,receptor
AF-A0A1B0GTW7-F1-model_v4,LMLN2,A0A1B0GTW7,Membrane,u,receptor
AF-A0A1B0GTY4-F1-model_v4,TEX50,A0A1B0GTY4,Membrane,u,receptor
AF-A0A1B0GU29-F1-model_v4,SMIM28,A0A1B0GU29,Membrane,u,receptor
AF-A0A1B0GUA5-F1-model_v4,SMIM32,A0A1B0GUA5,Membrane,u,receptor
AF-A0A1B0GUA7-F1-model_v4,TEX51,A0A1B0GUA7,Membrane,u,receptor
AF-A0A1B0GUW6-F1-model_v4,SPEM3,A0A1B0GUW6,Membrane,u,receptor
AF-A0A1B0GUW7-F1-model_v4,SMIM27,A0A1B0GUW7,Membrane,u,receptor
AF-A0A1B0GV85-F1-model_v4,REELD1,A0A1B0GV85,Membrane,u,receptor
AF-A0A1B0GV90-F1-model_v4,CTXND2,A0A1B0GV90,Membrane,u,receptor
AF-A0A1B0GVH4-F1-model_v4,PRSS51,A0A1B0GVH4,Secreted,u,ligand
AF-A0A1B0GVN3-F1-model_v4,C2orf92,A0A1B0GVN3,Membrane,u,receptor
AF-A0A1B0GVT2-F1-model_v4,SMIM36,A0A1B0GVT2,Membrane,u,receptor
AF-A0A1B0GVV1-F1-model_v4,SMIM35,A0A1B0GVV1,Membrane,u,receptor
AF-A0A1B0GVX0-F1-model_v4,LITAFD,A0A1B0GVX0,Membrane,u,receptor
AF-A0A1B0GVY4-F1-model_v4,SMIM31,A0A1B0GVY4,Membrane,u,receptor
AF-A0A1B0GVZ9-F1-model_v4,TMEM269,A0A1B0GVZ9,Membrane,u,receptor
AF-A0A1B0GW54-F1-model_v4,SMIM39,A0A1B0GW54,Membrane,u,receptor
AF-A0A1B0GW64-F1-model_v4,SMIM33,A0A1B0GW64,Membrane,u,receptor
AF-A0A1B0GWB2-F1-model_v4,PRRT1B,A0A1B0GWB2,Membrane,u,receptor
AF-A0A1B0GWG4-F1-model_v4,SERTM2,A0A1B0GWG4,Membrane,u,receptor
AF-A0A1B0GX31-F1-model_v4,TRBV7-6,A0A1B0GX31,Cell membrane,u,receptor
AF-A0A1B0GX49-F1-model_v4,TRBV6-4,A0A1B0GX49,Cell membrane,u,receptor
AF-A0A1B0GX51-F1-model_v4,TRBV7-8,A0A1B0GX51,Cell membrane,u,receptor
AF-A0A1B0GX56-F1-model_v4,TRDV1,A0A1B0GX56,Cell membrane,u,receptor
AF-A0A1B0GX68-F1-model_v4,TRBV2,A0A1B0GX68,Cell membrane,u,receptor
AF-A0A1B0GX78-F1-model_v4,TRBV12-5,A0A1B0GX78,Cell membrane,u,receptor
AF-A0A1B0GX95-F1-model_v4,TRBV7-4,A0A1B0GX95,Cell membrane,u,receptor
AF-A0A1B0GXF2-F1-model_v4,TRBV7-2,A0A1B0GXF2,Cell membrane,u,receptor
AF-A0A1W2PPG7-F1-model_v4,GNG14,A0A1W2PPG7,Cell membrane,u,receptor
AF-A0A1W2PS18-F1-model_v4,PMIS2,A0A1W2PS18,Membrane,u,receptor
AF-A0A286YEU6-F1-model_v4,OR1R1P,A0A286YEU6,Membrane,u,receptor
AF-A0A286YF58-F1-model_v4,TMEM271,A0A286YF58,Membrane,u,receptor
AF-A0A286YFK9-F1-model_v4,SMIM38,A0A286YFK9,Membrane,u,receptor
AF-A0A2R8Y4L6-F1-model_v4,OR5D3P,A0A2R8Y4L6,Cell membrane;Membrane,u,receptor
AF-A0A2R8Y4Y8-F1-model_v4,OOSP4B,A0A2R8Y4Y8,Secreted,u,ligand
AF-A0A2R8YCJ5-F1-model_v4,SMIM41,A0A2R8YCJ5,Membrane,u,receptor
AF-A0A2R8YED5-F1-model_v4,OR5BS1P,A0A2R8YED5,Cell membrane;Membrane,u,receptor
AF-A0A2R8YEH3-F1-model_v4,LOC112268384,A0A2R8YEH3,Cell membrane;Membrane,u,receptor
AF-A0A2R8YEV3-F1-model_v4,OR2A42,A0A2R8YEV3,Cell membrane;Membrane,u,receptor
AF-A0A2R8YFL7-F1-model_v4,OOSP4A,A0A2R8YFL7,Secreted,u,ligand
AF-A0A2R8YFM6-F1-model_v4,OOSP3,A0A2R8YFM6,Secreted,u,ligand
AF-A0A3B3IT45-F1-model_v4,OR51C1P,A0A3B3IT45,Cell membrane;Membrane,u,receptor
AF-A0A539-F1-model_v4,TRBV4-2,A0A539,Cell membrane,u,receptor
AF-A0A576-F1-model_v4,TRBV3-1,A0A576,Cell membrane,u,receptor
AF-A0A577-F1-model_v4,TRBV4-1,A0A577,Cell membrane,u,receptor
AF-A0A578-F1-model_v4,TRBV5-1,A0A578,Cell membrane,u,receptor
AF-A0A584-F1-model_v4,TRBV11-2,A0A584,Cell membrane,u,receptor
AF-A0A589-F1-model_v4,TRBV4-3,A0A589,Cell membrane,u,receptor
AF-A0A597-F1-model_v4,TRBV5-5,A0A597,Cell membrane,u,receptor
AF-A0A599-F1-model_v4,TRBV5-6,A0A599,Cell membrane,u,receptor
AF-A0A5A2-F1-model_v4,TRBV5-8,A0A5A2,Cell membrane,u,receptor
AF-A0A5A6-F1-model_v4,TRBV11-3,A0A5A6,Cell membrane,u,receptor
AF-A0A5B0-F1-model_v4,TRBV14,A0A5B0,Cell membrane,u,receptor
AF-A0A5B6-F1-model_v4,TRBV28,A0A5B6,Cell membrane,u,receptor
AF-A0A5B7-F1-model_v4,TRBV29-1,A0A5B7,Cell membrane,u,receptor
AF-A0A5B9-F1-model_v4,TRBC2,A0A5B9,Cell membrane,u,receptor
AF-A0A5F9ZH02-F1-model_v4,SMIM42,A0A5F9ZH02,Membrane,u,receptor
AF-A0AV02-F1-model_v4,SLC12A8,A0AV02,Membrane,u,receptor
AF-A0AVF1-F1-model_v4,TTC26,A0AVF1,"Cell projection, cilium",u,receptor
AF-A0AVI2-F1-model_v4,FER1L5,A0AVI2,Cell membrane;Membrane,u,receptor
AF-A0FGR8-F1-model_v4,ESYT2,A0FGR8,Cell membrane;Endoplasmic reticulum membrane,u,receptor
AF-A0FGR9-F1-model_v4,ESYT3,A0FGR9,Cell membrane;Endoplasmic reticulum membrane,u,receptor
AF-A0JD32-F1-model_v4,TRAV38-2DV8,A0JD32,Cell membrane,u,receptor
AF-A0JD36-F1-model_v4,TRDV2,A0JD36,Cell membrane,u,receptor
AF-A0JD37-F1-model_v4,TRDV3,A0JD37,Cell membrane,u,receptor
AF-A0M8Q6-F1-model_v4,IGLC7,A0M8Q6,Secreted;Cell membrane,u,ligand
AF-A0MZ66-F1-model_v4,SHTN1,A0MZ66,"Perikaryon;Cell projection, axon;Cell projection, growth cone;Cytoplasm, cytoskeleton;Cell projection, filopodium;Cell projection, lamellipodium",u,receptor
AF-A0PJK1-F1-model_v4,SLC5A10,A0PJK1,Cell membrane,u,receptor
